Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
63,dnb,78,5,0,80.76,3,caught,1,, Australia,Canberra,2 Dec 2020
56,65,60,6,0,93.33,3,caught,1,, England,Pune,23 Mar 2021
66,110,79,3,1,83.54,3,caught,1,, England,Pune,26 Mar 2021
7,14,10,1,0,70.00,3,bowled,1,, England,Pune,28 Mar 2021
51,79,63,3,0,80.95,3,caught,2,, South Africa,Paarl,19 Jan 2022
0,4,5,0,0,0.00,3,caught,1,, South Africa,Paarl,21 Jan 2022
65,112,84,5,0,77.38,3,caught,2,, South Africa,Cape Town,23 Jan 2022
8,6,4,2,0,200.00,3,caught,2,, West Indies,Ahmedabad,6 Feb 2022
18,42,30,3,0,60.00,3,caught,1,, West Indies,Ahmedabad,9 Feb 2022
0,2,2,0,0,0.00,3,caught,1,, West Indies,Ahmedabad,11 Feb 2022
16,39,25,3,0,64.00,3,caught,2,, England,Lord's,14 Jul 2022
17,27,22,3,0,77.27,3,caught,2,, England,Manchester,17 Jul 2022
9,22,15,1,0,60.00,3,caught,1,, Bangladesh,Mirpur,4 Dec 2022
5,9,6,1,0,83.33,1,bowled,2,, Bangladesh,Mirpur,7 Dec 2022
113,174,91,11,2,124.17,3,caught,1,, Bangladesh,Chattogram,10 Dec 2022
113,117,87,12,1,129.88,3,caught,1,, Sri Lanka,Guwahati,10 Jan 2023
4,27,9,1,0,44.44,3,bowled,2,, Sri Lanka,Eden Gardens,12 Jan 2023
166*,173,110,13,8,150.90,3,not out,1,, Sri Lanka,Thiruvananthapuram,15 Jan 2023
8,16,10,1,0,80.00,3,bowled,1,, New Zealand,Hyderabad,18 Jan 2023
11,19,9,2,0,122.22,3,stumped,2,, New Zealand,Raipur,21 Jan 2023
36,44,27,3,1,133.33,3,caught,1,, New Zealand,Indore,24 Jan 2023
4,15,9,1,0,44.44,3,lbw,2,, Australia,Wankhede,17 Mar 2023
31,79,35,4,0,88.57,3,lbw,1,, Australia,Visakhapatnam,19 Mar 2023
54,118,72,2,1,75.00,3,caught,2,, Australia,Chennai,22 Mar 2023
DNB,dnb,dnb,dnb,dnb,dnb,dnb,dnb,2,, West Indies,Bridgetown,27 Jul 2023
4,8,7,1,0,57.14,3,bowled,1,, Pakistan,Pallekele,2 Sep 2023
DNB,dnb,dnb,dnb,dnb,dnb,dnb,dnb,2,, Nepal,Pallekele,4 Sep 2023
122*,147,94,9,3,129.78,3,not out,1,, Pakistan,Colombo (RPS),10 Sep 2023
3,12,12,0,0,25.00,3,caught,1,, Sri Lanka,Colombo (RPS),12 Sep 2023
DNB,dnb,dnb,dnb,dnb,dnb,dnb,dnb,2,, Sri Lanka,Colombo (RPS),17 Sep 2023
56,63,61,5,1,91.80,3,caught,2,, Australia,Rajkot,27 Sep 2023
85,171,116,6,0,73.27,3,caught,2,, Australia,Chennai,8 Oct 2023
55*,64,56,6,0,98.21,3,not out,2,, Afghanistan,Delhi,11 Oct 2023
16,31,18,3,0,88.88,3,caught,2,, Pakistan,Ahmedabad,14 Oct 2023
103*,113,97,6,4,106.18,3,not out,2,, Bangladesh,Pune,19 Oct 2023
95,154,104,8,2,91.34,3,caught,2,, New Zealand,Dharamsala,22 Oct 2023
0,12,9,0,0,0.00,3,caught,1,, England,Lucknow,29 Oct 2023
88,139,94,11,0,93.61,3,caught,1,, Sri Lanka,Wankhede,2 Nov 2023
101*,195,121,10,0,83.47,3,not out,1,, South Africa,Eden Gardens,5 Nov 2023
51,69,56,5,1,91.07,3,bowled,1,, Netherlands,Bengaluru,12 Nov 2023
117,149,113,9,2,103.53,3,caught,1,, New Zealand,Wankhede,15 Nov 2023
54,99,63,4,0,85.71,3,bowled,1,, Australia,Ahmedabad,19 Nov 2023
24,42,32,2,0,75.00,3,lbw,2,, Sri Lanka,Colombo (RPS),2 Aug 2024
14,27,19,2,0,73.68,3,lbw,2,, Sri Lanka,Colombo (RPS),4 Aug 2024
20,29,18,4,0,111.11,3,lbw,2,, Sri Lanka,Colombo (RPS),7 Aug 2024
5,12,8,1,0,62.50,3,caught,2,, England,Cuttack,9 Feb 2025
52,74,55,7,1,94.54,3,caught,1,, England,Ahmedabad,12 Feb 2025
22,dnb,38,1,0,57.89,3,caught,2,, Bangladesh,Dubai (DICS),20 Feb 2025
100*,151,111,7,0,90.09,3,not out,2,, Pakistan,Dubai (DICS),23 Feb 2025
11,18,14,2,0,78.57,3,caught,1,, New Zealand,Dubai (DICS),2 Mar 2025
84,135,98,5,0,85.71,3,caught,2,, Australia,Dubai (DICS),4 Mar 2025
1,4,2,0,0,50.00,3,lbw,2,, New Zealand,Dubai (DICS),9 Mar 2025
0,12,8,0,0,0.00,3,caught,1,, Australia,Perth,19 Oct 2025
0,3,4,0,0,0.00,3,lbw,1,, Australia,Adelaide,23 Oct 2025
74*,111,81,7,0,91.35,3,not out,2,, Australia,Sydney,25 Oct 2025
